Saison,Date,Player1,A/C P1,Player2,A/C P2,Score P1,Score P2
20-21,20200912_01,Tuxsmouf,M-2000C,Cookie,F/A-18C,1,2
20-21,20200912_02,Val,M-2000C,Sakia,M-2000C,1,2
20-21,20200912_03,Rixe,M-2000C,Dior,F/A-18C,2,0
20-21,20200912_04,TheFrenchEagle,M-2000C,Krys,F/A-18C,1,2
20-21,20200912_05,Freeze,Su-33,Cookie,F/A-18C,0,2
20-21,20200912_06,Caernarvon II,F-15C,Sakia,M-2000C,0,2
20-21,20200912_07,Dup,M-2000C,Rixe,M-2000C,1,2
20-21,20200912_08,Stan,M-2000C,Krys,F/A-18C,0,2
20-21,20200912_09,Cookie,F/A-18C,Sakia,M-2000C,0,2
20-21,20200912_10,Rixe,M-2000C,Krys,F/A-18C,2,0
20-21,20200912_11,Sakia,M-2000C,Rixe,M-2000C,2,0
20-21,20200912_12,Cookie,F/A-18C,Krys,F/A-18C,1,2
20-21,20201017_01,Dior,F/A-18C,Freeze,Su-33,1,2
20-21,20201017_02,Sakia,M-2000C,pogo,F-14B,1,2
20-21,20201017_03,Marco,F-16C,Krys,F/A-18C,2,0
20-21,20201017_04,Moxie,F-14B,Val,M-2000C,0,2
20-21,20201017_05,Dup,M-2000C,Freeze,Su-33,2,0
20-21,20201017_06,Marco,F-16C,Val,M-2000C,1,2
20-21,20201017_07,Dup,M-2000C,pogo,F-14B,1,2
20-21,20201017_08,pogo,F-14B,Val,M-2000C,2,0
20-21,20201017_09,Dup,M-2000C,Marco,F-16C,2,0
20-21,20201121_01,Crickett,,OuiOui,,2,0
20-21,20201121_02,pogo,,Icrew,,2,0
20-21,20201121_03,Dior,,Freeze,,1,0
20-21,20201121_04,Stan,,Arilouchi,,1,0
20-21,20201121_05,Marco,,Chacal,,1,0
20-21,20201121_06,Payano,,Pyrho,,0,1
20-21,20201121_07,Charly,,Crickett,,2,1
20-21,20201121_08,Galinette,,Moxie,,2,0
20-21,20201121_09,Coco,,pogo,,2,0
20-21,20201121_10,Dup,,Dior,,1,2
20-21,20201121_11,Raven9616,,Stan,,0,2
20-21,20201121_12,Capt. Nemo,,Jon_ky,,2,0
20-21,20201121_13,A.M.X.,,Marco,,2,0
20-21,20201121_14,Tomy10,,Pyrho,,0,2
20-21,20201121_15,Charly,,Galinette,,2,0
20-21,20201121_16,Coco,,Dior,,2,1
20-21,20201121_17,Stan,,Capt. Nemo,,0,2
20-21,20201121_18,A.M.X.,,Pyrho,,0,2
20-21,20201121_19,Charly,,Coco,,2,0
20-21,20201121_20,Capt. Nemo,,Pyrho,,2,1
20-21,20201121_21,Charly,,Capt. Nemo,,2,0
20-21,20201121_22,Coco,,Pyrho,,1,2
20-21,20201226_01,Raven9616,AJS-37,Arilouchi,M-2000C,0,2
20-21,20201226_02,Chacal,F-16C,Marco,F-16C,0,2
20-21,20201226_03,pogo,F-14B,Jon_ky,F-16C,2,0
20-21,20201226_04,Payano,M-2000C,Dior,F/A-18C,1,2
20-21,20201226_05,Charly,F/A-18C,Krys,F/A-18C,2,0
20-21,20201226_06,Crickett,F/A-18C,Alpha Juliet,M-2000C,2,0
20-21,20201226_07,Conwell,M-2000C,Stan,M-2000C,2,1
20-21,20201226_08,Freeze,F/A-18C,Arilouchi,M-2000C,2,1
20-21,20201226_09,Marco,F-16C,pogo,F-14B,2,1
20-21,20201226_10,Dior,F/A-18C,Charly,F/A-18C,0,2
20-21,20201226_11,Crickett,F/A-18C,Conwell,M-2000C,2,1
20-21,20201226_12,Freeze,F/A-18C,Marco,F-16C,1,2
20-21,20201226_13,Charly,F/A-18C,Crickett,F/A-18C,1,2
20-21,20201226_14,Marco,F-16C,Crickett,F/A-18C,2,0
20-21,20201226_15,Freeze,F/A-18C,Charly,F/A-18C,0,2
20-21,20210130_01,Bloodrift,F-16C,Nigh,F/A-18C,1,2
20-21,20210130_02,Charly,F/A-18C,Snapeur,M-2000C,2,0
20-21,20210130_03,pogo,F-14B,BananaMayo,F/A-18C,2,1
20-21,20210130_04,PoloMarco,F-16C,Frost,M-2000C,0,2
20-21,20210130_05,Chacal,F-16C,Dup,M-2000C,1,2
20-21,20210130_06,Nexousse,F-16C,Dior,F/A-18C,0,2
20-21,20210130_07,Plaiskool,Su-27,Nigh,F/A-18C,2,0
20-21,20210130_08,Payano,M-2000C,Crickett,F/A-18C,1,2
20-21,20210130_09,Galinette,M-2000C,Charly,F/A-18C,0,2
20-21,20210130_10,Alpha Juliet,M-2000C,pogo,F-14B,1,2
20-21,20210130_11,OuiOui,M-2000C,Frost,M-2000C,2,0
20-21,20210130_12,Arilouchi,M-2000C,Conwell,M-2000C,2,1
20-21,20210130_13,Val,F/A-18C,Dup,M-2000C,1,2
20-21,20210130_14,Moxie,F-14B,Dior,F/A-18C,2,1
20-21,20210130_15,Plaiskool,Su-27,Crickett,F/A-18C,2,0
20-21,20210130_16,Charly,F/A-18C,pogo,F-14B,1,2
20-21,20210130_17,OuiOui,M-2000C,Arilouchi,M-2000C,0,2
20-21,20210130_18,Dup,M-2000C,Moxie,F-14B,0,2
20-21,20210130_19,Plaiskool,Su-27,pogo,F-14B,0,2
20-21,20210130_20,Arilouchi,M-2000C,Moxie,F-14B,1,2
20-21,20210130_21,pogo,F-14B,Moxie,F-14B,2,0
20-21,20210130_22,Plaiskool,Su-27,Arilouchi,M-2000C,2,0
20-21,20210220_01,Conwell,M-2000C,Wildclaw,F-16C,2,1
20-21,20210220_02,ZEmouton,F-16C,Bloodrift,F-16C,2,0
20-21,20210220_03,Low Blow,M-2000C,Alpha Juliet,M-2000C,2,0
20-21,20210220_04,Nigh,F/A-18C,Chacal,F/A-18C,1,2
20-21,20210220_05,Charly,F/A-18C,Marco,F-16C,2,1
20-21,20210220_06,Rictus,F/A-18C,Leebibs,M-2000C,0,2
20-21,20210220_07,Plaiskool,Su-27,OuiOui,M-2000C,2,0
20-21,20210220_08,Sakia,M-2000C,Djangoo,M-2000C,2,1
20-21,20210220_09,Tom,M-2000C,Dior,MiG-21,2,1
20-21,20210220_10,Phil,F/A-18C,Raven,F-86,2,1
20-21,20210220_11,Dup,M-2000C,Crickett,F/A-18C,0,2
20-21,20210220_12,Suédois,F/A-18C,Snapeur,M-2000C,2,0
20-21,20210220_13,Payano,M-2000C,Gaia_Funny,F-15C,2,1
20-21,20210220_14,Frost,M-2000C,Ari,M-2000C,0,2
20-21,20210220_15,pogo,F-14B,Conwell,M-2000C,0,2
20-21,20210220_16,ZEmouton,F-16C,Low Blow,M-2000C,0,2
20-21,20210220_17,Chacal,F/A-18C,Charly,F/A-18C,0,2
20-21,20210220_18,Leebibs,M-2000C,Plaiskool,Su-27,0,2
20-21,20210220_19,Moxie,F-14B,Sakia,M-2000C,1,2
20-21,20210220_20,Tom,M-2000C,Phil,F/A-18C,2,1
20-21,20210220_21,Crickett,F/A-18C,Suédois,F/A-18C,2,0
20-21,20210220_22,Payano,M-2000C,Ari,M-2000C,1,2
20-21,20210220_23,Conwell,M-2000C,Low Blow,M-2000C,0,2
20-21,20210220_24,Charly,F/A-18C,Plaiskool,Su-27,2,1
20-21,20210220_25,Sakia,M-2000C,Tom,M-2000C,2,0
20-21,20210220_26,Crickett,F/A-18C,Ari,M-2000C,2,1
20-21,20210220_27,Low Blow,M-2000C,Charly,F/A-18C,2,0
20-21,20210220_28,Sakia,M-2000C,Crickett,F/A-18C,2,0
20-21,20210220_29,Low Blow,M-2000C,Sakia,M-2000C,2,0
20-21,20210220_30,Charly,F/A-18C,Crickett,F/A-18C,2,0
20-21,20210320_01,Bloodrift,A-10C II,OuiOui,M-2000C,1,2
20-21,20210320_02,Tom,M-2000C,Arilouchi,M-2000C,1,2
20-21,20210320_03,Chacal,F/A-18C,PilatusPilot,F/A-18C,0,2
20-21,20210320_04,Low Blow,F/A-18C,OuiOui,M-2000C,2,0
20-21,20210320_05,Djangoo,M-2000C,Frostiz,M-2000C,0,2
20-21,20210320_06,Delta,F/A-18C,Malbak,M-2000C,2,0
20-21,20210320_07,Nigh,F/A-18C,Charly,F/A-18C,0,2
20-21,20210320_08,Dior,M-2000C,Arilouchi,M-2000C,1,2
20-21,20210320_09,LaChèvre,M-2000C,Moxie,F-14B,2,0
20-21,20210320_10,NEKSS,M-2000C,PilatusPilot,F/A-18C,0,2
20-21,20210320_11,Dup,M-2000C,Crickett,F/A-18C,1,2
20-21,20210320_12,Low Blow,F/A-18C,Frostiz,M-2000C,2,0
20-21,20210320_13,Delta,F/A-18C,Charly,F/A-18C,2,1
20-21,20210320_14,Arilouchi,M-2000C,LaChèvre,M-2000C,2,1
20-21,20210320_15,PilatusPilot,F/A-18C,Crickett,F/A-18C,2,0
20-21,20210320_16,Low Blow,F/A-18C,Delta,F/A-18C,0,2
20-21,20210320_17,Arilouchi,M-2000C,PilatusPilot,F/A-18C,2,1
20-21,20210320_18,Delta,F/A-18C,Arilouchi,M-2000C,2,1
20-21,20210320_19,Low Blow,F/A-18C,PilatusPilot,F/A-18C,2,1
20-21,20210522_01,ForTheQueen,M-2000C,Frenchie,F-16C,2,0
20-21,20210522_02,Delta,M-2000C,ForTheQueen,M-2000C,2,1
20-21,20210522_03,Charly,F/A-18C,Crickett,F/A-18C,2,1
20-21,20210522_04,Dior,M-2000C,Furieux,F/A-18C,2,0
20-21,20210522_05,Low Blow,M-2000C,Chacal,F/A-18C,2,0
20-21,20210522_06,Elias,M-2000C,Adrien,M-2000C,0,2
20-21,20210522_07,Mako,F/A-18C,Moxie,F-14B,0,2
20-21,20210522_08,Stan,M-2000C,pogo,F-14B,0,2
20-21,20210522_09,Arilouchi,M-2000C,Bloodrift,A-10C II,2,0
20-21,20210522_10,Delta,M-2000C,Charly,F/A-18C,2,0
20-21,20210522_11,Dior,M-2000C,Low Blow,M-2000C,1,2
20-21,20210522_12,Adrien,M-2000C,Moxie,F-14B,2,0
20-21,20210522_13,pogo,F-14B,Arilouchi,M-2000C,0,2
20-21,20210522_14,Delta,M-2000C,Low Blow,M-2000C,2,0
20-21,20210522_15,Adrien,M-2000C,Arilouchi,M-2000C,2,1
20-21,20210522_16,Delta,M-2000C,Adrien,M-2000C,2,0
20-21,20210522_17,Low Blow,M-2000C,Arilouchi,M-2000C,0,2
20-21,20210618_1,pogo,,Adrien,,2,0
20-21,20210618_2,Charly,,Marco,,2,0
20-21,20210618_3,Delta,,Moxie,,2,0
20-21,20210618_4,Low Blow,,Sakia,,1,2
20-21,20210618_5,Adrien,,Marco,,0,2
20-21,20210618_6,Moxie,,Low Blow,,0,2
20-21,20210618_7,pogo,,Charly,,0,2
20-21,20210618_8,Delta,,Sakia,,2,1
20-21,20210618_9,Sakia,,Marco,,2,0
20-21,20210618_10,pogo,,Low Blow,,0,2
20-21,20210618_11,Charly,,Delta,,0,3
20-21,20210618_12,Sakia,,Low Blow,,0,3
20-21,20210618_13,Delta,,Low Blow,,3,0
20-21,20210618_14,Charly,,Low Blow,,0,3
21-22,20211017_01,Pixel,F-16C,Mutz,M-2000C,1,2
21-22,20211017_02,Waves 1.1,F/A-18C,Delta,M-2000C,2,0
21-22,20211017_03,ForTheQueen,M-2000C,Hadès,F-14B,2,0
21-22,20211017_04,Mako,F/A-18C,Giat,F-14B,2,0
21-22,20211017_05,Charly,F/A-18C,Mcorp,F-14B,2,0
21-22,20211017_06,Cypher22,F-14B,Mutz,M-2000C,0,2
21-22,20211017_07,Nod,F-14B,Waves 1.1,F/A-18C,2,0
